"","Id","EventId","EventMonth","Paid","PayInd","OpenInd"
"1",1,1,9,11139,1,1
"2",1,2,15,10863,1,1
"3",1,3,21,11831,1,0
"4",1,4,27,0,0,1
"5",1,5,28,5112,1,0
"6",2,1,27,3828,1,0
"7",3,1,1,724,1,0
"8",4,1,10,6629,1,1
"9",4,2,23,6029,1,0
"10",5,1,14,674,1,0
"11",6,1,4,185,1,0
"12",7,1,6,1370,1,0
"13",8,1,12,1168,1,0
"14",9,1,8,3000,1,0
"15",10,1,9,2984,1,1
"16",10,2,12,2298,1,0
"17",11,1,6,11416,1,1
"18",11,2,17,10272,1,1
"19",11,3,31,10732,1,0
"20",11,4,36,0,0,1
"21",11,5,38,4496,1,0
"22",12,1,1,137,1,1
"23",12,2,2,146,1,0
"24",13,1,10,2408,1,0
"25",14,1,11,55916,1,1
"26",14,2,20,47146,1,1
"27",14,3,25,48422,1,0
"28",14,4,26,22014,1,1
"29",14,5,27,0,0,0
"30",15,1,3,1084,1,1
"31",15,2,5,1000,1,1
"32",15,3,8,1066,1,0
"33",16,1,11,7849,1,0
"34",17,1,22,3863,1,1
"35",17,2,36,4061,1,0
"36",18,1,2,243,1,0
"37",19,1,11,1237,1,0
"38",20,1,25,27571,1,1
"39",20,2,40,26446,1,0
"40",21,1,10,1767,1,1
"41",21,2,19,2000,1,1
"42",21,3,26,2048,1,1
"43",21,4,30,0,0,0
"44",22,1,14,26950,1,1
"45",22,2,35,31090,1,0
"46",22,3,39,0,0,1
"47",22,4,40,6297,1,0
"48",23,1,6,6208,1,1
"49",23,2,14,6793,1,0
"50",24,1,3,28,1,0
"51",25,1,14,590,1,1
"52",25,2,25,597,1,0
"53",26,1,21,3000,1,0
"54",27,1,8,5921,1,1
"55",27,2,23,5311,1,0
"56",28,1,10,3418,1,0
"57",29,1,9,2007,1,0
"58",30,1,10,2754,1,0
"59",31,1,13,7556,1,1
"60",31,2,21,8518,1,0
"61",32,1,18,1243,1,0
"62",33,1,6,11330,1,1
"63",33,2,13,11081,1,1
"64",33,3,19,10498,1,0
"65",34,1,31,8612,1,0
"66",35,1,5,4188,1,0
"67",36,1,29,1207,1,0
"68",37,1,18,1517,1,0
"69",38,1,10,6693,1,0
"70",39,1,24,3234,1,0
"71",40,1,24,1944,1,1
"72",40,2,43,2000,1,0
"73",41,1,6,24175,1,1
"74",41,2,15,21721,1,0
"75",42,1,35,10348,1,0
"76",43,1,4,435,1,0
"77",45,1,19,19524,1,1
"78",45,2,37,25371,1,0
"79",46,1,12,7139,1,0
"80",47,1,24,6657,1,1
"81",47,2,31,5533,1,0
"82",48,1,13,2932,1,1
"83",48,2,21,3000,1,1
"84",48,3,26,3148,1,1
"85",48,4,29,0,0,0
"86",50,1,26,4399,1,0
