Id,Type,AccidentDt,Paid,EventDt,AccidentYr,EventYr,MovementDelay
3,6,2012-01,724.0,2012-01,2012,2012,0
12,4,2012-01,137.0,2012-01,2012,2012,0
91,4,2012-01,1770.0,2012-02,2012,2012,0
56,1,2012-01,2019.0,2012-02,2012,2012,0
12,4,2012-01,146.0,2012-02,2012,2012,0
18,4,2012-01,243.0,2012-02,2012,2012,0
24,1,2012-01,28.0,2012-03,2012,2012,0
54,1,2012-01,1771.0,2012-03,2012,2012,0
55,1,2012-01,543.0,2012-03,2012,2012,0
359,4,2012-03,44.0,2012-03,2012,2012,0
217,1,2012-01,1000.0,2012-03,2012,2012,0
240,6,2012-02,452.0,2012-03,2012,2012,0
15,6,2012-01,1084.0,2012-03,2012,2012,0
120,4,2012-02,316.0,2012-03,2012,2012,0
63,6,2012-01,384.0,2012-03,2012,2012,0
176,6,2012-01,125.0,2012-03,2012,2012,0
105,1,2012-02,662.0,2012-03,2012,2012,0
294,1,2012-01,3879.0,2012-03,2012,2012,0
100,1,2012-02,240.0,2012-03,2012,2012,0
99,6,2012-01,1749.0,2012-03,2012,2012,0
207,4,2012-01,1149.0,2012-03,2012,2012,0
145,6,2012-01,325.0,2012-03,2012,2012,0
172,6,2012-01,1107.0,2012-04,2012,2012,0
426,1,2012-03,1029.0,2012-04,2012,2012,0
43,6,2012-01,435.0,2012-04,2012,2012,0
528,5,2012-02,418.0,2012-04,2012,2012,0
179,2,2012-02,1797.0,2012-04,2012,2012,0
192,5,2012-01,305.0,2012-04,2012,2012,0
411,1,2012-02,705.0,2012-04,2012,2012,0
316,1,2012-02,292.0,2012-04,2012,2012,0
167,2,2012-02,3000.0,2012-04,2012,2012,0
157,1,2012-02,3178.0,2012-04,2012,2012,0
137,6,2012-01,1178.0,2012-04,2012,2012,0
498,1,2012-01,2212.0,2012-04,2012,2012,0
135,4,2012-01,1630.0,2012-04,2012,2012,0
132,5,2012-02,23188.0,2012-04,2012,2012,0
127,6,2012-02,952.0,2012-04,2012,2012,0
403,4,2012-01,2287.0,2012-04,2012,2012,0
573,3,2012-04,334.0,2012-04,2012,2012,0
394,4,2012-01,4028.0,2012-04,2012,2012,0
111,5,2012-02,419.0,2012-04,2012,2012,0
108,5,2012-01,3516.0,2012-04,2012,2012,0
594,4,2012-02,244.0,2012-04,2012,2012,0
75,1,2012-01,1188.0,2012-04,2012,2012,0
100,1,2012-02,246.0,2012-04,2012,2012,0
91,4,2012-01,1591.0,2012-04,2012,2012,0
319,4,2012-02,285.0,2012-04,2012,2012,0
324,1,2012-03,144.0,2012-04,2012,2012,0
87,2,2012-01,26430.0,2012-04,2012,2012,0
240,6,2012-02,412.0,2012-04,2012,2012,0
207,4,2012-01,2000.0,2012-04,2012,2012,0
212,5,2012-02,248.0,2012-04,2012,2012,0
370,6,2012-02,1412.0,2012-04,2012,2012,0
252,5,2012-02,12625.0,2012-04,2012,2012,0
6,4,2012-01,185.0,2012-04,2012,2012,0
238,5,2012-01,6907.0,2012-04,2012,2012,0
405,4,2012-03,2238.0,2012-05,2012,2012,0
740,6,2012-04,219.0,2012-05,2012,2012,0
643,4,2012-03,148.0,2012-05,2012,2012,0
741,4,2012-01,239.0,2012-05,2012,2012,0
358,4,2012-03,689.0,2012-05,2012,2012,0
121,1,2012-01,2505.0,2012-05,2012,2012,0
278,4,2012-01,333.0,2012-05,2012,2012,0
54,1,2012-01,3108.0,2012-05,2012,2012,0
224,6,2012-01,2244.0,2012-05,2012,2012,0
552,4,2012-02,1174.0,2012-05,2012,2012,0
15,6,2012-01,1000.0,2012-05,2012,2012,0
488,6,2012-03,250.0,2012-05,2012,2012,0
477,4,2012-01,13.0,2012-05,2012,2012,0
478,4,2012-02,331.0,2012-05,2012,2012,0
871,1,2012-05,123.0,2012-05,2012,2012,0
317,4,2012-01,188.0,2012-05,2012,2012,0
574,4,2012-01,1137.0,2012-05,2012,2012,0
67,4,2012-01,396.0,2012-05,2012,2012,0
246,5,2012-02,10000.0,2012-05,2012,2012,0
580,6,2012-03,322.0,2012-05,2012,2012,0
335,1,2012-02,1710.0,2012-05,2012,2012,0
111,5,2012-02,412.0,2012-05,2012,2012,0
591,1,2012-01,2529.0,2012-05,2012,2012,0
463,5,2012-01,2461.0,2012-05,2012,2012,0
617,6,2012-04,265.0,2012-05,2012,2012,0
708,3,2012-01,5056.0,2012-05,2012,2012,0
90,4,2012-01,1732.0,2012-05,2012,2012,0
917,4,2012-03,68.0,2012-05,2012,2012,0
606,1,2012-03,340.0,2012-05,2012,2012,0
241,6,2012-02,1000.0,2012-05,2012,2012,0
489,1,2012-01,1847.0,2012-05,2012,2012,0
129,3,2012-01,5000.0,2012-05,2012,2012,0
35,1,2012-01,4188.0,2012-05,2012,2012,0
765,1,2012-02,986.0,2012-05,2012,2012,0
172,6,2012-01,1000.0,2012-05,2012,2012,0
519,5,2012-03,285.0,2012-05,2012,2012,0
192,5,2012-01,315.0,2012-05,2012,2012,0
363,1,2012-02,2198.0,2012-05,2012,2012,0
287,4,2012-03,7622.0,2012-05,2012,2012,0
189,5,2012-02,537.0,2012-05,2012,2012,0
157,1,2012-02,2901.0,2012-05,2012,2012,0
310,5,2012-03,1505.0,2012-05,2012,2012,0
494,5,2012-02,6992.0,2012-05,2012,2012,0
429,1,2012-01,1386.0,2012-05,2012,2012,0
528,5,2012-02,1227.0,2012-05,2012,2012,0
371,6,2012-03,59.0,2012-05,2012,2012,0
817,4,2012-03,583.0,2012-05,2012,2012,0
207,4,2012-01,0.0,2012-05,2012,2012,0
303,1,2012-01,307.0,2012-05,2012,2012,0
810,6,2012-04,33.0,2012-05,2012,2012,0
589,5,2012-02,249.0,2012-06,2012,2012,0
448,1,2012-03,328.0,2012-06,2012,2012,0
591,1,2012-01,2103.0,2012-06,2012,2012,0
426,1,2012-03,1137.0,2012-06,2012,2012,0
979,5,2012-05,2779.0,2012-06,2012,2012,0
510,1,2012-02,671.0,2012-06,2012,2012,0
465,6,2012-01,502.0,2012-06,2012,2012,0
466,6,2012-03,359.0,2012-06,2012,2012,0
111,5,2012-02,393.0,2012-06,2012,2012,0
463,5,2012-01,2568.0,2012-06,2012,2012,0
402,2,2012-01,1729.0,2012-06,2012,2012,0
96,1,2012-01,1000.0,2012-06,2012,2012,0
954,6,2012-04,149.0,2012-06,2012,2012,0
258,4,2012-02,392.0,2012-06,2012,2012,0
193,1,2012-01,1110.0,2012-06,2012,2012,0
1290,4,2012-03,85.0,2012-06,2012,2012,0
503,4,2012-03,265.0,2012-06,2012,2012,0
197,1,2012-02,1000.0,2012-06,2012,2012,0
949,4,2012-02,314.0,2012-06,2012,2012,0
206,4,2012-01,1576.0,2012-06,2012,2012,0
467,1,2012-02,2000.0,2012-06,2012,2012,0
587,5,2012-02,4627.0,2012-06,2012,2012,0
151,5,2012-02,1440.0,2012-06,2012,2012,0
1174,2,2012-02,574.0,2012-06,2012,2012,0
1121,1,2012-03,1253.0,2012-06,2012,2012,0
531,5,2012-03,5994.0,2012-06,2012,2012,0
420,4,2012-03,144.0,2012-06,2012,2012,0
528,5,2012-02,840.0,2012-06,2012,2012,0
138,6,2012-02,342.0,2012-06,2012,2012,0
486,5,2012-03,3045.0,2012-06,2012,2012,0
484,4,2012-02,700.0,2012-06,2012,2012,0
87,2,2012-01,20958.0,2012-06,2012,2012,0
325,2,2012-01,1313.0,2012-06,2012,2012,0
496,6,2012-02,260.0,2012-06,2012,2012,0
134,4,2012-01,1692.0,2012-06,2012,2012,0
